iter	Passed	Remaining
0	161	483510
1	282	423455
2	402	402344
3	522	391551
4	640	383902
5	759	379097
6	875	374424
7	1006	376528
8	1127	374742
9	1243	371819
10	1361	369923
11	1480	368609
12	1604	368568
13	1723	367584
14	1848	367803
15	1973	368069
16	2088	366385
17	2208	365870
18	2322	364415
19	2456	366081
20	2572	364961
21	2684	363365
22	2805	363147
23	2920	362118
24	3053	363362
25	3160	361486
26	3266	359691
27	3389	359740
28	3507	359363
29	3611	357523
30	3726	356857
31	3841	356265
32	3954	355504
33	4060	354178
34	4180	354168
35	4299	353985
36	4421	354058
37	4534	353414
38	4645	352671
39	4765	352625
40	4870	351531
41	5001	352274
42	5124	352423
43	5256	353148
44	5365	352360
45	5489	352546
46	5611	352579
47	5730	352396
48	5876	353924
49	6013	354796
50	6137	354885
51	6256	354692
52	6392	355474
53	6510	355200
54	6626	354792
55	6754	355112
56	6872	354849
57	6975	353849
58	7099	353886
59	7223	353971
60	7359	354570
61	7508	355829
62	7633	355858
63	7741	355145
64	7890	356290
65	8018	356479
66	8151	356829
67	8274	356789
68	8390	356407
69	8527	356943
70	8651	356915
71	8783	357177
72	8902	356968
73	9010	356284
74	9146	356702
75	9271	356710
76	9404	357021
77	9528	356957
78	9659	357173
79	9806	357947
80	9922	357560
81	10057	357886
82	10215	359019
83	10360	359655
84	10488	359689
85	10610	359523
86	10742	359677
87	10877	359935
88	10993	359578
89	11104	359033
90	11215	358511
91	11348	358722
92	11456	358105
93	11576	357890
94	11678	357102
95	11810	357259
96	11933	357151
97	12057	357059
98	12165	356493
99	12308	356945
100	12449	357342
101	12583	357510
102	12715	357636
103	12820	357004
104	12943	356872
105	13065	356704
106	13190	356635
107	13300	356153
108	13419	355917
109	13525	355356
110	13655	355413
111	13791	355614
112	13902	355181
113	14014	354785
114	14126	354402
115	14261	354563
116	14397	354775
117	14504	354247
118	14623	354040
119	14727	353458
120	14835	352976
121	14950	352682
122	15058	352212
123	15192	352359
124	15321	352399
125	15454	352516
126	15576	352371
127	15694	352154
128	15825	352215
129	15968	352524
130	16111	352849
131	16246	352999
132	16374	352981
133	16505	353026
134	16633	352993
135	16763	353018
136	16873	352619
137	17007	352728
138	17128	352554
139	17249	352384
140	17372	352260
141	17496	352145
142	17616	351952
143	17760	352252
144	17871	351893
145	18009	352053
146	18141	352093
147	18274	352148
148	18377	351640
149	18520	351887
150	18623	351382
151	18723	350816
152	18865	351050
153	18982	350800
154	19098	350556
155	19226	350510
156	19363	350641
157	19501	350773
158	19632	350797
159	19762	350777
160	19890	350732
161	20016	350653
162	20153	350762
163	20261	350367
164	20385	350253
165	20528	350469
166	20628	349942
167	20746	349719
168	20877	349731
169	21029	350086
170	21161	350099
171	21272	349765
172	21412	349907
173	21547	349962
174	21686	350088
175	21834	350341
176	21946	350028
177	22082	350096
178	22203	349916
179	22316	349629
180	22447	349611
181	22566	349411
182	22692	349313
183	22843	349609
184	22949	349211
185	23080	349185
186	23209	349135
187	23340	349118
188	23463	348967
189	23606	349128
190	23741	349163
191	23877	349203
192	24000	349058
193	24127	348983
194	24247	348791
195	24386	348878
196	24515	348809
197	24621	348425
198	24752	348402
199	24890	348470
200	25008	348254
201	25110	347821
202	25221	347508
203	25324	347095
204	25470	347270
205	25603	347264
206	25776	347791
207	25944	348256
208	26083	348315
209	26242	348655
210	26387	348791
211	26517	348728
212	26627	348402
213	26782	348674
214	26893	348360
215	27048	348625
216	27195	348774
217	27308	348498
218	27444	348503
219	27570	348395
220	27693	348231
221	27823	348172
222	27929	347797
223	28035	347439
224	28148	347162
225	28271	347019
226	28403	346968
227	28544	347043
228	28694	347217
229	28805	346920
230	28904	346474
231	29038	346457
232	29167	346385
233	29298	346325
234	29402	345947
235	29535	345921
236	29651	345681
237	29768	345467
238	29908	345517
239	30043	345503
240	30174	345444
241	30297	345295
242	30408	345008
243	30503	344543
244	30620	344322
245	30742	344168
246	30857	343926
247	30982	343805
248	31087	343455
249	31212	343339
250	31335	343194
251	31422	342654
252	31546	342528
253	31661	342294
254	31776	342069
255	31929	342244
256	32065	342235
257	32203	342259
258	32303	341870
259	32453	342014
260	32576	341868
261	32725	341995
262	32855	341923
263	32977	341767
264	33094	341565
265	33236	341614
266	33340	341274
267	33452	341011
268	33590	341029
269	33722	340968
270	33839	340772
271	33982	340829
272	34115	340776
273	34232	340579
274	34339	340276
275	34437	339884
276	34567	339808
277	34697	339737
278	34794	339343
279	34934	339362
280	35077	339413
281	35206	339332
282	35358	339470
283	35498	339481
284	35625	339378
285	35752	339277
286	35873	339109
287	35999	338992
288	36138	339002
289	36265	338898
290	36394	338803
291	36516	338656
292	36641	338527
293	36756	338313
294	36905	338403
295	37044	338407
296	37138	338001
297	37277	338000
298	37390	337767
299	37501	337513
300	37618	337318
301	37746	337215
302	37892	337284
303	38017	337154
304	38143	337036
305	38282	337032
306	38394	336792
307	38513	336613
308	38629	336415
309	38770	336427
310	38911	336437
311	39040	336351
312	39173	336293
313	39308	336248
314	39439	336174
315	39576	336152
316	39686	335892
317	39803	335705
318	39935	335635
319	40059	335500
320	40193	335449
321	40305	335212
322	40442	335182
323	40558	334983
324	40683	334858
325	40804	334695
326	40921	334505
327	41037	334305
328	41176	334293
329	41314	334271
330	41426	334043
331	41568	334052
332	41700	333980
333	41838	333955
334	41973	333910
335	42124	333983
336	42264	333980
337	42400	333934
338	42518	333752
339	42652	333691
340	42755	333396
341	42890	333340
342	43025	333289
343	43156	333211
344	43282	333087
345	43393	332851
346	43524	332769
347	43633	332518
348	43763	332425
349	43876	332205
350	43985	331961
351	44132	331998
352	44273	331985
353	44398	331857
354	44517	331689
355	44618	331380
356	44735	331192
357	44831	330854
358	44970	330830
359	45096	330708
360	45212	330511
361	45348	330468
362	45479	330381
363	45616	330340
364	45751	330288
365	45866	330089
366	45991	329957
367	46110	329792
368	46221	329565
369	46347	329443
370	46493	329467
371	46591	329149
372	46708	328962
373	46826	328786
374	46963	328745
375	47091	328641
376	47221	328546
377	47361	328522
378	47457	328193
379	47574	328010
380	47684	327781
381	47819	327724
382	47926	327477
383	48014	327096
384	48151	327051
385	48298	327078
386	48403	326819
387	48521	326645
388	48652	326560
389	48793	326540
390	48933	326512
391	49041	326277
392	49154	326069
393	49268	325874
394	49385	325692
395	49485	325405
396	49599	325205
397	49727	325104
398	49868	325084
399	50001	325008
400	50121	324854
401	50245	324724
402	50376	324633
403	50499	324494
404	50613	324301
405	50745	324219
406	50875	324131
407	50987	323919
408	51080	323590
409	51185	323341
410	51297	323138
411	51420	323002
412	51540	322845
413	51671	322759
414	51797	322644
415	51909	322438
416	52032	322301
417	52159	322191
418	52296	322142
419	52415	321981
420	52543	321877
421	52646	321620
422	52789	321605
423	52915	321483
424	53046	321398
425	53181	321335
426	53297	321159
427	53426	321057
428	53535	320837
429	53658	320705
430	53779	320553
431	53882	320300
432	53986	320052
433	54105	319896
434	54238	319822
435	54345	319593
436	54468	319454
437	54583	319273
438	54724	319244
439	54843	319086
440	54942	318817
441	55067	318694
442	55176	318478
443	55281	318241
444	55383	317989
445	55487	317747
446	55595	317529
447	55715	317378
448	55821	317152
449	55930	316942
450	56076	316936
451	56184	316721
452	56284	316462
453	56384	316201
454	56516	316121
455	56609	315823
456	56759	315841
457	56877	315683
458	56978	315428
459	57075	315155
460	57185	314952
461	57296	314759
462	57435	314716
463	57560	314596
464	57683	314469
465	57835	314496
466	57960	314378
467	58095	314312
468	58219	314187
469	58362	314162
470	58469	313947
471	58601	313867
472	58741	313824
473	58856	313653
474	58970	313473
475	59064	313189
476	59190	313075
477	59302	312889
478	59394	312594
479	59496	312357
480	59621	312237
481	59772	312253
482	59901	312156
483	60019	312001
484	60133	311825
485	60256	311697
486	60347	311405
487	60474	311294
488	60575	311053
489	60677	310818
490	60775	310560
491	60928	310586
492	61026	310330
493	61123	310072
494	61231	309866
495	61324	309591
496	61443	309442
497	61551	309241
498	61645	308970
499	61773	308865
500	61897	308746
501	62026	308651
502	62120	308379
503	62231	308192
504	62333	307962
505	62442	307772
506	62559	307617
507	62683	307493
508	62793	307306
509	62900	307102
510	63023	306977
511	63130	306775
512	63227	306524
513	63354	306419
514	63475	306286
515	63587	306107
516	63679	305835
517	63778	305593
518	63901	305469
519	64022	305340
520	64139	305185
521	64237	304942
522	64324	304651
523	64425	304422
524	64525	304191
525	64646	304058
526	64736	303783
527	64878	303750
528	64972	303493
529	65076	303280
530	65199	303158
531	65325	303052
532	65460	302987
533	65609	302983
534	65723	302821
535	65830	302622
536	65936	302423
537	66058	302298
538	66193	302230
539	66272	301909
540	66381	301724
541	66504	301601
542	66626	301475
543	66729	301266
544	66838	301078
545	66928	300809
546	67042	300648
547	67136	300400
548	67258	300273
549	67406	300264
550	67518	300097
551	67640	299969
552	67762	299843
553	67872	299666
554	67974	299453
555	68090	299305
556	68185	299061
557	68292	298871
558	68395	298665
559	68494	298442
560	68617	298320
561	68737	298187
562	68878	298147
563	68993	297992
564	69090	297762
565	69213	297640
566	69334	297515
567	69421	297241
568	69542	297114
569	69644	296905
570	69768	296791
571	69866	296566
572	69987	296439
573	70084	296211
574	70182	295986
575	70282	295772
576	70422	295726
577	70528	295534
578	70631	295336
579	70717	295061
580	70835	294925
581	70955	294795
582	71075	294663
583	71162	294399
584	71261	294183
585	71360	293967
586	71492	293888
587	71610	293747
588	71689	293450
589	71808	293319
590	71933	293209
591	72059	293106
592	72159	292896
593	72255	292672
594	72370	292524
